"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"150",70,"Best",909.716887976132,"LRBF","UCB",0.209622063933938,1.1,NA,0.591761631097637,12.3159048869356,2.70551261061695,"LRBF-UCB"
"151",71,"Cumulative",542.200461440393,"LRBF","UCB",0.528926760279548,1.13,NA,0.397944685287085,0.186178919784543,0.0530142265303097,"LRBF-UCB"
"152",72,"Cumulative",654.07142506941,"LRBF","UCB",0.431731311335498,1.11,NA,0.333630714120453,0.174435478791243,0.035597855273648,"LRBF-UCB"
"153",73,"Best",743.672288924246,"LRBF","UCB",0.353884514404122,1.19,NA,0.0854787603409797,66.9863845615012,11.7695466513921,"LRBF-UCB"
"154",74,"Cumulative",1049.92171833885,"LRBF","UCB",0.0878096562351945,0.81,NA,0.64476022732129,48.4627807331527,12.0751615211592,"LRBF-UCB"
"155",75,"Cumulative",919.758638079071,"LRBF","UCB",0.200897615893285,1.13,NA,0.334447663699912,0.179679785068167,0.0693971674731618,"LRBF-UCB"
"156",76,"Cumulative",780.588489396521,"LRBF","UCB",0.321811074059852,0.91,NA,0.187754739473862,26.5316103039069,5.73572390929189,"LRBF-UCB"
"157",77,"Cumulative",744.540857053678,"LRBF","UCB",0.353129887228847,1.05,NA,0.371996290282571,0.168321360384332,0.0492055328026201,"LRBF-UCB"
"158",78,"Best",1086.30647400324,"LRBF","UCB",0.0561979444308096,1.09,NA,0.548573002867341,7.36973739625109,1.73204225485865,"LRBF-UCB"
"159",79,"Best",725.040699732377,"LRBF","UCB",0.370071964813954,1.29,NA,0.418595294935013,3.03369111990363,0.464958796810782,"LRBF-UCB"
"160",80,"Cumulative",936.362223985839,"LRBF","UCB",0.186472130191374,0.9,NA,0.65270815052867,26.753705681429,5.91542452481442,"LRBF-UCB"
