"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"99",18,"Best","Rough",331.00142047244,"RBF","UCB",0.189007616707128,1.06,NA,0.477368024193597,0.213142955873311,0.0385224912770675,"RBF-UCB"
"100",19,"Best","Rough",418.697835908834,"RBF","UCB",-0.0258589082144003,1.12,NA,0.716614682740177,0.0480684430247555,0.373306399593509,"RBF-UCB"
"101",20,"Best","Smooth",171.88270154633,"RBF","UCB",0.578867179557974,1.16,NA,0.467465689090299,0.127764088101796,0.00673796028766938,"RBF-UCB"
"102",21,"Best","Smooth",312.511692557681,"RBF","UCB",0.234309623226087,1.35,NA,0.800164029523571,0.167425970428418,0.0666418644312955,"RBF-UCB"
"103",22,"Cumulative","Rough",209.729318514434,"RBF","UCB",0.486138519811662,1.09,NA,0.770833128395756,0.0639453642266126,0.0396483849994908,"RBF-UCB"
"104",23,"Cumulative","Rough",244.992693202048,"RBF","UCB",0.399739107265217,0.95,NA,0.506811803798715,0.0780649444741977,0.0511491390648726,"RBF-UCB"
"105",24,"Cumulative","Smooth",325.262492104658,"RBF","UCB",0.203068665713781,1.17,NA,0.497178792435446,0.418152813466948,0.0218709287091417,"RBF-UCB"
"106",25,"Cumulative","Smooth",214.072411074971,"RBF","UCB",0.475497432587613,1.02,NA,0.415060318933902,0.236075880991267,0.0084918263529993,"RBF-UCB"
"107",26,"Best","Rough",232.720533253662,"RBF","UCB",0.429807341505683,1.21,NA,0.685415708926664,0.124545431126556,0.020734602802891,"RBF-UCB"
"108",27,"Best","Rough",142.987587334601,"RBF","UCB",0.649663605466488,0.58,NA,0.459754335406905,0.00673794728072839,0.0198998613678377,"RBF-UCB"
"109",28,"Best","Smooth",238.673531539978,"RBF","UCB",0.415221796038638,1.19,NA,0.519452840792888,0.0923950719393278,0.0266869028690468,"RBF-UCB"
"110",29,"Best","Smooth",323.118859669074,"RBF","UCB",0.208320817125569,1.2,NA,0.680010522646941,0.138700086798148,0.0573642867360909,"RBF-UCB"
"111",30,"Cumulative","Rough",175.733650666892,"RBF","UCB",0.569431901604283,1.25,NA,0.986609879560067,0.0877387483378437,0.0333830503137159,"RBF-UCB"
"112",31,"Cumulative","Rough",193.1845523628,"RBF","UCB",0.526675141416444,1.11,NA,0.784372299897103,0.0311090373741621,0.0401133736419891,"RBF-UCB"
"113",32,"Cumulative","Smooth",303.023737045604,"RBF","UCB",0.25755622936552,1.17,NA,1.65654821489096,0.155323045693301,0.0860071762796574,"RBF-UCB"
"114",33,"Cumulative","Smooth",235.489917822739,"RBF","UCB",0.423022023821171,1.18,NA,0.608212776812454,0.0767107820965389,0.0427206448694485,"RBF-UCB"
"115",34,"Best","Rough",159.181484658277,"RBF","UCB",0.609986653728385,0.82,NA,0.529186932586291,0.0945753152289439,0.0267943296214204,"RBF-UCB"
"116",35,"Best","Rough",344.43976190971,"RBF","UCB",0.156082100755687,0.92,NA,1.1620155698533,0.0825782237333604,0.0957805941412751,"RBF-UCB"
"117",36,"Best","Smooth",260.824273473754,"RBF","UCB",0.360949874888154,1.36,NA,1.27234016634618,0.0717929843529732,0.0681699480080888,"RBF-UCB"
"118",37,"Best","Smooth",356.395184746746,"RBF","UCB",0.126789909664654,1.17,NA,0.581189163941399,0.0833590667380728,0.11402822749967,"RBF-UCB"
"119",38,"Cumulative","Rough",180.591403599968,"RBF","UCB",0.557529835978642,0.99,NA,0.628157076837255,0.129945146468882,0.0157895469493986,"RBF-UCB"
"120",39,"Cumulative","Smooth",209.684125646929,"RBF","UCB",0.486249247648639,1.04,NA,0.490596956352702,0.0161381238733855,0.0514149726937879,"RBF-UCB"
"121",40,"Best","Rough",175.132418139053,"RBF","UCB",0.570904991961326,1.19,NA,0.754281214399475,0.0775309390336405,0.040313227877701,"RBF-UCB"
"122",41,"Best","Rough",359.669196545708,"RBF","UCB",0.118768195957264,1.15,NA,0.452629618375299,0.229394842175135,0.0389846592094695,"RBF-UCB"
"123",42,"Best","Smooth",235.17452010373,"RBF","UCB",0.423794785301952,1.21,NA,0.578813686291476,0.141758156073463,0.0335481531372295,"RBF-UCB"
"124",43,"Best","Smooth",373.987070065035,"RBF","UCB",0.0836877230319476,0.96,NA,1.20915274743152,0.0106352030936227,0.165521708045626,"RBF-UCB"
"125",44,"Cumulative","Rough",257.181680537836,"RBF","UCB",0.369874655701027,1.28,NA,0.959939885143691,0.083933086974752,0.0605256324454852,"RBF-UCB"
"126",45,"Cumulative","Rough",263.422337106989,"RBF","UCB",0.354584313632082,1.27,NA,0.628364471979687,0.0970505243365291,0.0365505019243676,"RBF-UCB"
"127",46,"Cumulative","Smooth",192.352022088174,"RBF","UCB",0.528714938437915,1.11,NA,0.454301967537674,0.159289331636973,0.0144523706673941,"RBF-UCB"
"128",47,"Best","Rough",200.997298898849,"RBF","UCB",0.507532994158315,1.28,NA,0.635208728791583,0.0866867656259156,0.032111166011659,"RBF-UCB"
"129",48,"Best","Rough",407.288218027364,"RBF","UCB",0.00209599658615001,1.21,NA,6.19477700817018,0.00674274517693632,0.384171772702337,"RBF-UCB"
"130",49,"Best","Smooth",271.043780146106,"RBF","UCB",0.335910882425648,1.17,NA,0.430897776665215,0.149856017677401,0.0330411412127453,"RBF-UCB"
"131",50,"Best","Smooth",323.815913918477,"RBF","UCB",0.206612952288612,1.21,NA,1.18015173742641,0.131911395677533,0.073532802782783,"RBF-UCB"
"132",51,"Cumulative","Rough",428.241652819015,"RBF","UCB",-0.0492423813446707,1.02,NA,2.27449988973329,0.0333691129575734,0.421030168612173,"RBF-UCB"
"133",52,"Cumulative","Rough",264.189163206451,"RBF","UCB",0.352705499562084,1.03,NA,1.18625356499742,0.0632806050980387,0.0647932138643002,"RBF-UCB"
"134",53,"Cumulative","Smooth",229.307314267092,"RBF","UCB",0.43817012918396,1.29,NA,1.34057797804708,0.0464310371009638,0.0550500808023154,"RBF-UCB"
"135",54,"Cumulative","Smooth",249.85066738258,"RBF","UCB",0.387836499557304,1.11,NA,0.547848464638675,0.061584043613327,0.0240369082388996,"RBF-UCB"
"136",55,"Best","Rough",180.815735802482,"RBF","UCB",0.556980195716354,0.98,NA,0.566678620493004,0.112318074919125,0.0293597175926868,"RBF-UCB"
"137",56,"Best","Rough",278.39455168609,"RBF","UCB",0.317900628204552,1.23,NA,0.563748037848497,0.185100286671192,0.0368437955081529,"RBF-UCB"
"138",57,"Best","Smooth",203.850452915724,"RBF","UCB",0.500542431481139,1.37,NA,0.855785804797483,0.154134432878104,0.0420931096582173,"RBF-UCB"
"139",58,"Best","Smooth",132.076857769769,"RBF","UCB",0.67639617525612,1.08,NA,0.444036281415733,0.0305992489802638,0.0527643547166056,"RBF-UCB"
"140",59,"Cumulative","Rough",317.947404058857,"RBF","UCB",0.220991491180192,1.21,NA,0.704416603295575,0.15414786070564,0.0499981442229494,"RBF-UCB"
"141",60,"Cumulative","Smooth",192.356650810648,"RBF","UCB",0.528703597523833,1.11,NA,0.374940655891892,0.132650963181413,0.0110340835644662,"RBF-UCB"
"142",61,"Cumulative","Smooth",201.415280288964,"RBF","UCB",0.5065088906265,1.34,NA,1.18362982281458,0.136273480457911,0.0415615202163765,"RBF-UCB"
"143",62,"Best","Rough",218.583310072934,"RBF","UCB",0.464445199869305,1.15,NA,0.26011987290518,0.0644094892215639,0.036324700235063,"RBF-UCB"
"144",63,"Best","Rough",239.07286621776,"RBF","UCB",0.414243379143618,1.02,NA,0.850386898711483,0.061827161303745,0.0541606515238884,"RBF-UCB"
"145",64,"Best","Smooth",145.906356677404,"RBF","UCB",0.642512277528912,1.21,NA,0.628380668944024,0.093106697571277,0.0135200166263083,"RBF-UCB"
"146",65,"Best","Smooth",166.692801154577,"RBF","UCB",0.591583045495204,1.14,NA,0.719003619202073,0.0538145675439028,0.0402283590776081,"RBF-UCB"
"147",66,"Cumulative","Rough",191.774638216102,"RBF","UCB",0.530129596785357,1.3,NA,1.05744548506662,0.0497932684912351,0.050396829789042,"RBF-UCB"
"148",67,"Cumulative","Rough",161.103222030872,"RBF","UCB",0.605278171300609,1.04,NA,0.541050002536694,0.0320280389765109,0.0411057461034538,"RBF-UCB"
"149",68,"Cumulative","Smooth",248.090521915615,"RBF","UCB",0.392149062824129,1.18,NA,0.604296543689946,0.0907092781732132,0.0227369897501502,"RBF-UCB"
"150",69,"Cumulative","Smooth",196.272929258608,"RBF","UCB",0.519108255039753,1.1,NA,0.624348522277308,0.0991747973400576,0.0428778889042802,"RBF-UCB"
"151",70,"Best","Rough",164.312235946453,"RBF","UCB",0.597415710046811,1.04,NA,0.543003409643609,0.073427510490951,0.0359939722711973,"RBF-UCB"
