"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed","mainTextBest"
"176",14,"Best","Smooth",381.094261640171,"LWSLS","",0.0662742683530774,1.2,NA,NA,NA,0.526909230555585,"LWSLS-",0,NA
"177",15,"Cumulative","Rough",390.352716825023,"LWSLS","",0.0435899649888924,1.05,NA,NA,NA,0.65185426919043,"LWSLS-",0,NA
"178",16,"Cumulative","Smooth",389.80822975578,"LWSLS","",0.044924022302989,1.13,NA,NA,NA,0.651773772110516,"LWSLS-",0,NA
"179",17,"Cumulative","Smooth",404.408340253792,"LWSLS","",0.00915203560812128,1.17,NA,NA,NA,0.945368901969138,"LWSLS-",0,NA
"180",18,"Best","Rough",403.315042378512,"LWSLS","",0.0118307438996358,1.06,NA,NA,NA,1.26990703778868,"LWSLS-",0,NA
"181",19,"Best","Rough",408.699270972565,"LWSLS","",-0.0013612489729391,1.12,NA,NA,NA,2.0714818928327,"LWSLS-",0,NA
"182",20,"Best","Smooth",390.459713779525,"LWSLS","",0.0433278098748365,1.16,NA,NA,NA,0.675907723457875,"LWSLS-",0,NA
"183",21,"Best","Smooth",394.31624541347,"LWSLS","",0.0338788541072339,1.35,NA,NA,NA,0.706000002851312,"LWSLS-",0,NA
"184",22,"Cumulative","Rough",401.545765037325,"LWSLS","",0.016165681331587,1.09,NA,NA,NA,0.978741264597704,"LWSLS-",0,NA
"185",23,"Cumulative","Rough",395.553861933635,"LWSLS","",0.0308465481737473,0.95,NA,NA,NA,0.655623141674006,"LWSLS-",0,NA
"186",24,"Cumulative","Smooth",394.532517701055,"LWSLS","",0.0333489615838176,1.17,NA,NA,NA,0.694947978919054,"LWSLS-",0,NA
"187",25,"Cumulative","Smooth",402.501472211475,"LWSLS","",0.0138240864291007,1.02,NA,NA,NA,1.58110631864528,"LWSLS-",0,NA
