"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"149",69,"Cumulative","Rough",893.358003499084,"LRBF","UCB",0.223834948755806,1.08,NA,1.22374048951746,0.282926331374644,0.0746931946040766,"LRBF-UCB",77
"150",70,"Cumulative","Rough",742.217915732331,"LRBF","UCB",0.355148099258804,0.96,NA,0.917474371943385,0.451191334458241,0.0789881480941663,"LRBF-UCB",77
"151",71,"Cumulative","Smooth",725.669911316142,"LRBF","UCB",0.369525294790017,1.06,NA,0.698858335138515,0.504017524427392,0.0930395348569623,"LRBF-UCB",77
"152",72,"Cumulative","Smooth",727.173178747786,"LRBF","UCB",0.368219229765083,1.04,NA,0.64380968275849,0.488208989575105,0.0860000169426852,"LRBF-UCB",77
"153",73,"Best","Rough",681.262590321779,"LRBF","UCB",0.40810715160465,1.24,NA,0.544944408164319,0.507533482548398,0.0847915388515227,"LRBF-UCB",77
"154",74,"Best","Rough",969.150311141438,"LRBF","UCB",0.157985266864862,1.14,NA,2.28499080344404,1.03523552175389,0.11078717718634,"LRBF-UCB",77
"155",75,"Best","Smooth",640.703121069513,"LRBF","UCB",0.443345927557088,1.19,NA,0.75320476296047,0.528539156695239,0.0798133454496512,"LRBF-UCB",77
"156",76,"Best","Smooth",857.54637451859,"LRBF","UCB",0.25494871807775,1.11,NA,0.853227207281002,0.39683911594953,0.0850288622281545,"LRBF-UCB",77
"157",77,"Cumulative","Smooth",496.486260680025,"LRBF","UCB",0.568644057081932,1.25,NA,0.784579710168849,0.146389305055572,0.0390693358473414,"LRBF-UCB",77
"158",78,"Best","Smooth",874.610537902983,"LRBF","UCB",0.240123074611401,1.41,NA,1.04491256162145,0.600769565486003,0.104136364426472,"LRBF-UCB",77
"159",79,"Cumulative","Smooth",507.993167074548,"LRBF","UCB",0.558646655641093,1.35,NA,1.29391574872523,0.100940986016576,0.038411123597709,"LRBF-UCB",77
"160",80,"Cumulative","Smooth",891.081187497649,"LRBF","UCB",0.225813086301454,0.94,NA,0.496190571627909,0.35786955831952,0.0771633077505252,"LRBF-UCB",77
