"participant","leaveoutindex","reward","environment","horizon","kError","beta","tau"
17,4,"Cumulative","Smooth",10,0.929375230595123,5.99321354209832,0.0339857051673881
17,5,"Cumulative","Smooth",10,0.102534584254019,2.64739511284331,0.122269932726163
17,6,"Cumulative","Smooth",10,5.70598674660966,19.6042956301369,0.0135570846186386
17,7,"Cumulative","Smooth",10,7.35279952094846,3.97262773163654,0.00899398836534818
17,8,"Cumulative","Smooth",10,2.76689384407786,31.2545139738461,0.272236787433011
18,1,"Best","Rough",5,0.721035586503145,40.1759581934081,0.486250140847437
18,2,"Best","Rough",5,0.788539116975745,17.0331851538083,0.392362276856003
18,3,"Best","Rough",5,0.99044507302278,2.48050717130692,0.00715673205685704
18,4,"Best","Rough",5,1.82139875113183,16.2134038751238,0.130507570236347
18,5,"Best","Rough",5,0.388913225008926,44.3073087395325,0.018222963571962
18,6,"Best","Rough",5,0.100521186574099,10.5164289472755,0.0137595151706536
18,7,"Best","Rough",5,0.0569254994418679,7.76904007821464,0.117276439539016
18,8,"Best","Rough",5,0.341518847882922,8.48356086058833,0.0218604038180143
18,1,"Best","Rough",10,4.17530758019783,4.50842685330484,0.418314688041414
18,2,"Best","Rough",10,2.76910323639683,3.51829497147271,0.606061200459757
18,3,"Best","Rough",10,9.27168292726162,7.45875258607196,0.163120468752299
18,4,"Best","Rough",10,5.04657203793468,1.43733330701759,0.0910855175596801
18,5,"Best","Rough",10,0.679465198593742,0.998518711077976,0.0253020827885054
18,6,"Best","Rough",10,6.46910191337243,2.79417535763054,0.116741713526904
18,7,"Best","Rough",10,5.3467494723136,2.83847413094948,0.168885697889314
18,8,"Best","Rough",10,1.90948078520907,3.10074455729681,0.837418025687347
19,1,"Best","Rough",5,0.984642254114325,0.805526054238226,0.00881189901769393
19,2,"Best","Rough",5,0.0184329776649489,4.66911185274709,0.087100115187329
19,3,"Best","Rough",5,0.00816862509762612,34.1142977145461,0.174897606425323
19,4,"Best","Rough",5,0.184033385978177,2.79135793362072,0.0569802067190101
19,5,"Best","Rough",5,1.5665342585018,2.73660049792197,0.0276149870777288
19,6,"Best","Rough",5,0.0194806471757153,5.1583467349991,0.0850442491182605
19,7,"Best","Rough",5,1.07966289059292,19.3431695717737,0.26152016294616
19,8,"Best","Rough",5,0.748239447791117,14.2458842810597,0.029227055207296
19,1,"Best","Rough",10,13.1320018335815,0.907799657729553,0.0152536857909292
19,2,"Best","Rough",10,7.75654205310182,0.777767397304684,0.0358175143550264
19,3,"Best","Rough",10,13.3315158966041,0.638912838439924,0.0101321232495059
19,4,"Best","Rough",10,7.49928058947583,8.25472394586296,0.36763212504705
19,5,"Best","Rough",10,16.0226115053141,0.79898985431145,0.00901061904315632
19,6,"Best","Rough",10,15.3700448346686,0.766107049951968,0.0070224671839491
19,7,"Best","Rough",10,18.4081449367701,0.802187579203097,0.00682353942231548
19,8,"Best","Rough",10,7.03713569936858,0.716050805205962,0.0283250877942901
20,1,"Best","Smooth",5,1.67281525255457,16.7259268979932,0.427557826662799
20,2,"Best","Smooth",5,0.264238142267697,36.2865967385004,0.00853625327238201
20,3,"Best","Smooth",5,0.219364789312583,26.2122509185091,0.620554477775638
20,4,"Best","Smooth",5,2.16702511044296,12.7890436078557,0.0165604442065577
20,5,"Best","Smooth",5,0.0116623553412547,5.98918731197369,0.208437279573588
20,6,"Best","Smooth",5,0.20765195381197,2.89817537154409,0.0107778655127519
20,7,"Best","Smooth",5,3.26283672690807,5.84157909631345,0.0122439458563342
20,8,"Best","Smooth",5,0.0132294640935077,9.05207962894255,0.0265408478740292
20,1,"Best","Smooth",10,1.02303144090992,42.499897688089,0.00786323150755345
20,2,"Best","Smooth",10,0.0229470991098926,7.8452683000275,0.321734721805991
20,3,"Best","Smooth",10,0.0932825523088777,28.7643275621877,0.34133376073431
20,4,"Best","Smooth",10,0.0612122126835439,0.951830227647817,0.0257350753992829
20,5,"Best","Smooth",10,1.34046401114727,35.1804956396306,0.193874923102041
20,6,"Best","Smooth",10,0.0854548032253599,29.8507125898009,0.0746436606779748
20,7,"Best","Smooth",10,0.427227908784197,9.29241689849415,0.260921736178802
20,8,"Best","Smooth",10,0.0428040225087946,3.14679688897543,0.00950551616860569
21,1,"Best","Smooth",5,0.283382707842031,14.7775992248962,0.060496271431853
21,2,"Best","Smooth",5,0.0511756475545939,27.5034361065222,0.402122016889855
21,3,"Best","Smooth",5,2.12053635052809,5.34832337984513,0.0133614655367065
21,4,"Best","Smooth",5,0.0602219571738715,19.5507553192796,0.308289300440773
21,5,"Best","Smooth",5,0.0429198652319528,20.2591094216005,0.0708034660077112
21,6,"Best","Smooth",5,0.415662331170966,36.3215630108783,0.237597162835564
21,7,"Best","Smooth",5,0.202732677599283,5.29948999409662,0.010236786738307
21,8,"Best","Smooth",5,0.266109964971701,20.869072054419,0.0505252971823544
21,1,"Best","Smooth",10,0.121427348034033,12.6578233784111,0.0607368199413326
21,2,"Best","Smooth",10,9.15525734859206,0.528085907909227,0.00698624249698088
21,3,"Best","Smooth",10,9.16109764472257,0.521891086686793,0.00675376509052845
21,4,"Best","Smooth",10,4.58812966542182,0.503137129422031,0.0240772942391573
21,5,"Best","Smooth",10,9.80241002995246,0.540474409540067,0.00675352766544184
21,6,"Best","Smooth",10,5.5101125446473,0.497896561105352,0.0165430887590198
21,7,"Best","Smooth",10,5.51033650750817,0.490416537526022,0.0155460268766003
21,8,"Best","Smooth",10,4.82727638999654,0.486183371079013,0.020287380852048
22,1,"Cumulative","Rough",5,0.424124679278002,6.29605824800462,0.0552156855167871
